1 02318 中國平安 522,485,000 314,116,825 836,601,825 
2 00175 吉利汽車 105,624,900 680,910,200 786,535,100 
3 00939 建設銀行 95,753,180 536,557,620 632,310,800 
4 00700 騰訊控股 203,183,940 379,422,860 582,606,800 
5 03988 中國銀行 61,858,200 405,405,590 467,263,790 
6 01336 新華保險 131,320,640 329,920,800 461,241,440 
7 01918 融創中國 131,024,400 257,518,150 388,542,550 
8 02601 中國太保 200,679,840 187,328,760 388,008,600 
9 01398 工商銀行 328,437,160 37,685,590 366,122,750 
10 00288 萬洲國際 181,262,500 117,051,285 298,313,785 

1 00700 騰訊控股 314,486,140 212,593,300 527,079,440 
2 01336 新華保險 101,766,970 397,772,330 499,539,300 
3 00763 中興通訊 135,404,720 157,988,650 293,393,370 
4 02666 環球醫療 86,031,155 160,209,165 246,240,320 
5 00175 吉利汽車 102,265,780 128,837,480 231,103,260 
6 01918 融創中國 55,423,800 118,787,250 174,211,050 
7 00288 萬洲國際 76,467,870 76,394,845 152,862,715 
8 03908 中金公司 37,033,552 100,221,256 137,254,808 
9 01088 中國神華 4,359,730 126,451,930 130,811,660 
10 00939 建設銀行 6,451,520 119,083,140 125,534,660 
